Venue,team1,team2,toss_winner,toss_decision,winner,result_margin,target_runs
NA,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,97,207
NA,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,44,176
Abu Dhabi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,7,143
NA,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,4,224
NA,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,NA,202
Abu Dhabi,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,15,163
NA,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,37,175
Abu Dhabi,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,48,192
NA,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,7,165
Abu Dhabi,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,8,155
NA,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,18,229
NA,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,10,179
NA,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,34,209
NA,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,59,197
Abu Dhabi,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,57,194
Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,10,168
NA,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,69,202
NA,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,46,185
Abu Dhabi,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,2,165
NA,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,37,170
NA,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,5,159
Abu Dhabi,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,5,163
NA,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,82,195
NA,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,20,168
NA,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,13,162
NA,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,8,172
Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,8,149
NA,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,5,180
NA,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,7,178
Abu Dhabi,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,NA,164
NA,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,NA,177
Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,7,126
NA,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,5,165
Abu Dhabi,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,8,85
NA,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,8,155
NA,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,10,115
Abu Dhabi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,59,195
NA,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,12,127
Abu Dhabi,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,8,196
NA,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,8,146
NA,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,8,150
NA,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,88,220
Abu Dhabi,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,5,165
NA,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,6,173
Abu Dhabi,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,7,186
NA,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,5,121
NA,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,9,111
Abu Dhabi,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,9,154
NA,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,60,192
Abu Dhabi,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,6,153
NA,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,10,150
NA,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,57,201
Abu Dhabi,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,6,132
Abu Dhabi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,17,190
NA,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,5,157
Chennai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,2,160
Mumbai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,7,189
Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,10,188
Mumbai,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,4,222
Chennai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,10,153
Chennai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,6,150
Mumbai,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,3,148
Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,6,107
Chennai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,13,151
Chennai,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,38,205
Mumbai,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,6,196
Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,45,189
Chennai,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,6,138
Chennai,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,9,121
Mumbai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,18,221
Mumbai,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,10,178
Chennai,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,9,132
Mumbai,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,6,134
Mumbai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,69,192
Chennai,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,NA,160
Ahmedabad,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,5,124
Ahmedabad,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,1,172
Delhi,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,7,172
Delhi,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,7,172
Ahmedabad,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,7,155
Ahmedabad,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,34,180
Delhi,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,4,219
Delhi,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,55,221
Ahmedabad,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,7,167
Dubai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,20,157
Abu Dhabi,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,9,93
Dubai,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,2,186
Dubai,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,8,135
Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,7,156
Sharjah,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,6,157
Abu Dhabi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,33,155
Sharjah,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,5,126
Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,2,172
Dubai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,54,166
Dubai,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,7,165
Sharjah,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,3,128
Abu Dhabi,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,6,136
Dubai,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7,150
Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,6,135
Dubai,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,5,166
Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,7,190
Sharjah,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,4,130
Sharjah,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,6,165
Dubai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,6,116
Dubai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,3,137
Sharjah,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,8,91
Abu Dhabi,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,4,142
Dubai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,6,135
Sharjah,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,86,172
Abu Dhabi,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,42,236
Dubai,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7,165
Dubai,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,4,173
Sharjah,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,4,139
Sharjah,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,3,136
Dubai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,27,193
Mumbai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,6,132
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,4,178
Mumbai,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,5,206
Mumbai,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,5,159
Pune,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,61,211
Mumbai,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,3,129
Mumbai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,6,211
Mumbai,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,6,138
Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,23,194
Pune,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,14,172
Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,54,181
Mumbai,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lucknow Super Giants,12,170
Mumbai,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,4,170
Pune,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,5,162
Mumbai,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,6,150
Mumbai,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,6,190
Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,8,155
Pune,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7,152
Mumbai,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,44,216
Mumbai,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,3,166
Mumbai,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,8,163
Mumbai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,23,217
Pune,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,12,199
Mumbai,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,37,193
Mumbai,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,7,176
Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,18,200
Mumbai,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,16,190
Mumbai,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,7,152
Pune,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,3,170
Mumbai,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,7,218
Mumbai,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,18,182
Mumbai,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,9,116
Navi Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,3,156
Mumbai,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,15,223
Navi Mumbai,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Gujarat Titans,8,157
Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,9,69
Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,36,169
Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,11,188
Pune,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,29,145
Mumbai,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,5,196
Mumbai,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,4,147
Pune,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,20,154
Mumbai,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,Gujarat Titans,6,171
Navi Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,5,159
Mumbai,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Lucknow Super Giants,6,196
Pune,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,13,203
Mumbai,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,7,153
Navi Mumbai,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Punjab Kings,8,144
Pune,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,13,174
Mumbai,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,21,208
Mumbai,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,5,178
Mumbai,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,6,190
Pune,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,75,177
Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,67,193
Navi Mumbai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,91,209
Navi Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,52,166
Pune,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,62,145
Navi Mumbai,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,8,161
Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,5,98
Mumbai,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,54,210
Pune,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,54,178
Mumbai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Gujarat Titans,7,134
Mumbai,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,24,179
Navi Mumbai,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,17,160
Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,3,194
Navi Mumbai,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,2,211
Mumbai,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,8,169
Mumbai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,5,151
Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,5,160
Mumbai,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,5,158
Kolkata,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,7,189
Kolkata,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,14,208
Ahmedabad,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,7,158
Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,7,131
Ahmedabad,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,5,179
Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,7,154
Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,50,194
Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,72,204
Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,8,172
Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,12,218
Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,6,163
Guwahati,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,5,198
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,81,205
Lucknow,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,5,122
Guwahati,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,57,200
Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,7,158
Ahmedabad,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Kolkata Knight Riders,3,205
Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,8,144
Bengaluru,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,1,213
Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,6,173
Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,3,176
Chandigarh,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,6,154
Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,23,229
Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,23,175
Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings,2,160
Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,5,186
Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,3,178
Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,8,227
Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,14,193
Jaipur,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Lucknow Super Giants,10,155
Chandigarh,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,24,175
Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,4,128
Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,7,135
Lucknow,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,7,136
Mumbai,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,13,215
Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,7,190
Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,49,236
Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,7,145
Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,55,208
Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,21,201
Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,32,203
Chandigarh,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,56,258
Kolkata,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,7,180
Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,9,198
Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,4,201
Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,6,213
Lucknow,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,18,127
Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Delhi Capitals,5,131
Lucknow,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,NA,NA,NA
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,6,215
Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,172
Jaipur,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,9,119
Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,6,140
Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,7,182
Ahmedabad,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,56,228
Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,4,215
Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,5,180
Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,6,200
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,27,168
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,9,150
Mumbai,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,27,219
Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,7,183
Delhi,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,31,168
Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,112,172
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,6,145
Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,34,189
Lucknow,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,5,178
Dharamsala,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,15,214
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,8,187
Dharamsala,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,4,188
Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,77,224
Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,1,177
